,System_ID,log-gamma,T,Solvent_SMILES,Solute_SMILES,T_str,Rare_species,Rare_solvent_solute,key_class,GH-GNN,Same_key_class_n,Similarity_max,Similarity_max_10,Similarity_max_30,Similarity_max_50,Similarity_max_100
10,C(CCCCCCC#N)CCCCCC#N_CCC(C)=O_70.95,-0.17,70.95,C(CCCCCCC#N)CCCCCC#N,CCC(C)=O,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,-0.3207963109016418,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
11,C(CCCCCCC#N)CCCCCC#N_CCC(C)=O_85.4,-0.18,85.4,C(CCCCCCC#N)CCCCCC#N,CCC(C)=O,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,-0.2838833928108215,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
12,C(CCCCCCC#N)CCCCCC#N_CCCCCCl_100.6,0.29,100.6,C(CCCCCCC#N)CCCCCC#N,CCCCCCl,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,0.5237468481063843,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
13,C(CCCCCCC#N)CCCCCC#N_CCCCCCl_70.95,0.39,70.95,C(CCCCCCC#N)CCCCCC#N,CCCCCCl,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,0.5579588413238525,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
14,C(CCCCCCC#N)CCCCCC#N_CCCCCCl_85.4,0.34,85.4,C(CCCCCCC#N)CCCCCC#N,CCCCCCl,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,0.5405786037445068,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
15,C(CCCCCCC#N)CCCCCC#N_CCCCCl_100.6,0.14,100.6,C(CCCCCCC#N)CCCCCC#N,CCCCCl,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,0.0556938648223876,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
16,C(CCCCCCC#N)CCCCCC#N_CCCCCl_70.95,0.21,70.95,C(CCCCCCC#N)CCCCCC#N,CCCCCl,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,0.1950197219848632,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
17,C(CCCCCCC#N)CCCCCC#N_CCCCCl_85.4,0.18,85.4,C(CCCCCCC#N)CCCCCC#N,CCCCCl,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,0.1242403984069824,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
18,C(CCCCCCC#N)CCCCCC#N_CCCCl_100.6,-0.02,100.6,C(CCCCCCC#N)CCCCCC#N,CCCCl,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,-0.133570909500122,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
19,C(CCCCCCC#N)CCCCCC#N_CCCCl_70.95,0.02,70.95,C(CCCCCCC#N)CCCCCC#N,CCCCl,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,-0.0464287996292114,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
20,C(CCCCCCC#N)CCCCCC#N_CCCCl_85.4,0.02,85.4,C(CCCCCCC#N)CCCCCC#N,CCCCl,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organochlorides,-0.0906983613967895,30,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
21,C(CCCCCCC#N)CCCCCC#N_CCCOC(C)=O_100.6,0.15,100.6,C(CCCCCCC#N)CCCCCC#N,CCCOC(C)=O,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,0.2684745490550995,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
22,C(CCCCCCC#N)CCCCCC#N_CCCOC(C)=O_70.95,0.23,70.95,C(CCCCCCC#N)CCCCCC#N,CCCOC(C)=O,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,0.2446846067905426,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
23,C(CCCCCCC#N)CCCCCC#N_CCCOC(C)=O_85.4,0.21,85.4,C(CCCCCCC#N)CCCCCC#N,CCCOC(C)=O,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,0.2567579448223114,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
24,C(CCCCCCC#N)CCCCCC#N_CCOC(C)=O_100.6,0.07,100.6,C(CCCCCCC#N)CCCCCC#N,CCOC(C)=O,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,0.0642511993646621,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
25,C(CCCCCCC#N)CCCCCC#N_CCOC(C)=O_70.95,0.12,70.95,C(CCCCCCC#N)CCCCCC#N,CCOC(C)=O,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,0.069031223654747,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
26,C(CCCCCCC#N)CCCCCC#N_CCOC(C)=O_85.4,0.12,85.4,C(CCCCCCC#N)CCCCCC#N,CCOC(C)=O,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,0.0666027963161468,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
27,C(CCCCCCC#N)CCCCCC#N_COC(C)=O_100.6,-0.06,100.6,C(CCCCCCC#N)CCCCCC#N,COC(C)=O,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,-0.0064023733139038,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
28,C(CCCCCCC#N)CCCCCC#N_COC(C)=O_70.95,-0.004,70.95,C(CCCCCCC#N)CCCCCC#N,COC(C)=O,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,-0.0264101326465606,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
29,C(CCCCCCC#N)CCCCCC#N_COC(C)=O_85.4,-0.01,85.4,C(CCCCCCC#N)CCCCCC#N,COC(C)=O,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Carboxylic acids and derivatives,-0.0162459313869476,19,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
30,C(CCCCCCC#N)CCCCCC#N_CO_100.6,0.21,100.6,C(CCCCCCC#N)CCCCCC#N,CO,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.1780717372894287,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
31,C(CCCCCCC#N)CCCCCC#N_CO_70.95,0.44,70.95,C(CCCCCCC#N)CCCCCC#N,CO,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.455385684967041,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
32,C(CCCCCCC#N)CCCCCC#N_CO_85.4,0.33,85.4,C(CCCCCCC#N)CCCCCC#N,CO,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.3145065307617187,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
33,C(CCCCCCC#N)CCCCCC#N_ClC(Cl)(Cl)Cl_100.6,0.23,100.6,C(CCCCCCC#N)CCCCCC#N,ClC(Cl)(Cl)Cl,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Alkyl halides,0.0975401997566223,31,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
34,C(CCCCCCC#N)CCCCCC#N_ClC(Cl)(Cl)Cl_70.95,0.3,70.95,C(CCCCCCC#N)CCCCCC#N,ClC(Cl)(Cl)Cl,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Alkyl halides,0.1428987383842468,31,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
35,C(CCCCCCC#N)CCCCCC#N_ClC(Cl)(Cl)Cl_85.4,0.27,85.4,C(CCCCCCC#N)CCCCCC#N,ClC(Cl)(Cl)Cl,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Alkyl halides,0.1198562979698181,31,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
36,C(CCCCCCC#N)CCCCCC#N_ClC(Cl)Cl_100.6,-0.74,100.6,C(CCCCCCC#N)CCCCCC#N,ClC(Cl)Cl,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Alkyl halides,-0.6910110712051392,31,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
37,C(CCCCCCC#N)CCCCCC#N_ClC(Cl)Cl_70.95,-0.7,70.95,C(CCCCCCC#N)CCCCCC#N,ClC(Cl)Cl,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Alkyl halides,-0.7894811630249023,31,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
38,C(CCCCCCC#N)CCCCCC#N_ClC(Cl)Cl_85.4,-0.72,85.4,C(CCCCCCC#N)CCCCCC#N,ClC(Cl)Cl,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Alkyl halides,-0.7394568920135498,31,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
39,C(CCCCCCC#N)CCCCCC#N_OCCC_100.6,0.29,100.6,C(CCCCCCC#N)CCCCCC#N,OCCC,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.2188007831573486,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
40,C(CCCCCCC#N)CCCCCC#N_OCCC_70.95,0.54,70.95,C(CCCCCCC#N)CCCCCC#N,OCCC,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.5246667861938477,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
41,C(CCCCCCC#N)CCCCCC#N_OCCC_85.4,0.4,85.4,C(CCCCCCC#N)CCCCCC#N,OCCC,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.3692824840545654,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
42,C(CCCCCCC#N)CCCCCC#N_OCC_100.6,0.28,100.6,C(CCCCCCC#N)CCCCCC#N,OCC,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.2416698932647705,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
43,C(CCCCCCC#N)CCCCCC#N_OCC_70.95,0.53,70.95,C(CCCCCCC#N)CCCCCC#N,OCC,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.500401496887207,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
44,C(CCCCCCC#N)CCCCCC#N_OCC_85.4,0.4,85.4,C(CCCCCCC#N)CCCCCC#N,OCC,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,0.3689625263214111,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
45,C1CC=CCC1_CC1=CC2CC(C1)C2(C)C_65.0,0.300104592,65.0,C1CC=CCC1,CC1=CC2CC(C1)C2(C)C,65.0,CC1=CC2CC(C1)C2(C)C,Solute,Unsaturated hydrocarbons_Unsaturated hydrocarbons,0.3188828229904175,16,0.8761467889908257,0.2613065326633166,0.207492795389049,0.19444444444444445,0.1407035175879397
46,C1CC=CCC1_CC1=CC2CC(C1)C2(C)C_80.0,0.254642218,80.0,C1CC=CCC1,CC1=CC2CC(C1)C2(C)C,80.0,CC1=CC2CC(C1)C2(C)C,Solute,Unsaturated hydrocarbons_Unsaturated hydrocarbons,0.2523185014724731,16,0.8761467889908257,0.2613065326633166,0.207492795389049,0.19444444444444445,0.1407035175879397
47,C1CCC2CCCCC2C1_C1C=CC=CC1_25.0,0.106519843,25.0,C1CCC2CCCCC2C1,C1C=CC=CC1,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Unsaturated hydrocarbons,0.1148862838745117,4,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
48,C1CCC2CCCCC2C1_C1C=CCC=C1_25.0,0.05259245,25.0,C1CCC2CCCCC2C1,C1C=CCC=C1,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Unsaturated hydrocarbons,0.0748633742332458,4,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
49,C1CCC2CCCCC2C1_C1CC=CCC1_25.0,0.070458464,25.0,C1CCC2CCCCC2C1,C1CC=CCC1,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Unsaturated hydrocarbons,-0.0018723607063293,4,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
50,C1CCC2CCCCC2C1_C1CCCC1_25.0,-0.0040805434,25.0,C1CCC2CCCCC2C1,C1CCCC1,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Saturated hydrocarbons,0.0156625509262084,8,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
51,C1CCC2CCCCC2C1_C1CCCCC1_25.0,0.0754042001428571,25.0,C1CCC2CCCCC2C1,C1CCCCC1,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Saturated hydrocarbons,0.0702776908874511,8,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
52,C1CCC2CCCCC2C1_CC(=C)C=C_25.0,0.329303747,25.0,C1CCC2CCCCC2C1,CC(=C)C=C,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Unsaturated hydrocarbons,0.1833943128585815,4,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
53,C1CCC2CCCCC2C1_CC=C(C)C_25.0,0.19062036,25.0,C1CCC2CCCCC2C1,CC=C(C)C,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Unsaturated hydrocarbons,0.1127618551254272,4,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
54,C1CCC2CCCCC2C1_CCCCC#C_25.0,0.572673027,25.0,C1CCC2CCCCC2C1,CCCCC#C,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_nan,0.5669400095939636,0,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
55,C1CCC2CCCCC2C1_CCCCC=C_25.0,0.279145741,25.0,C1CCC2CCCCC2C1,CCCCC=C,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Unsaturated hydrocarbons,0.2135447263717651,4,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
56,C1CCC2CCCCC2C1_CCCCCC#C_25.0,0.551583616,25.0,C1CCC2CCCCC2C1,CCCCCC#C,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_nan,0.4995125532150268,0,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
57,C1CCC2CCCCC2C1_CCCCCC=C_25.0,0.239803992,25.0,C1CCC2CCCCC2C1,CCCCCC=C,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Unsaturated hydrocarbons,0.2231347560882568,4,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
58,C1CCC2CCCCC2C1_CCCCCCC_25.0,0.25503672875,25.0,C1CCC2CCCCC2C1,CCCCCCC,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Saturated hydrocarbons,0.3623950481414795,8,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
59,C1CCC2CCCCC2C1_CCCCCC_25.0,0.2516007947777778,25.0,C1CCC2CCCCC2C1,CCCCCC,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Saturated hydrocarbons,0.3312821388244629,8,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
60,C1CCC2CCCCC2C1_CCCCC_25.0,0.2931790552,25.0,C1CCC2CCCCC2C1,CCCCC,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Saturated hydrocarbons,0.2659692764282226,8,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
61,C1CCC2CCCCC2C1_c1ccccc1_25.0,0.3598888412857142,25.0,C1CCC2CCCCC2C1,c1ccccc1,25.0,C1CCC2CCCCC2C1,Solvent,Polycyclic hydrocarbons_Benzene and substituted derivatives,0.3838638067245483,1,1.0,0.8181818181818182,0.6086956521739131,0.45454545454545453,0.3181818181818182
62,C1CCCCC1_CC1=CC2CC(C1)C2(C)C_65.0,0.157003749,65.0,C1CCCCC1,CC1=CC2CC(C1)C2(C)C,65.0,CC1=CC2CC(C1)C2(C)C,Solute,Saturated hydrocarbons_Unsaturated hydrocarbons,0.1070538163185119,95,0.8761467889908257,0.2613065326633166,0.207492795389049,0.19444444444444445,0.1407035175879397
63,C1CCCCC1_CC1=CC2CC(C1)C2(C)C_80.0,0.076961041,80.0,C1CCCCC1,CC1=CC2CC(C1)C2(C)C,80.0,CC1=CC2CC(C1)C2(C)C,Solute,Saturated hydrocarbons_Unsaturated hydrocarbons,0.0790610313415527,95,0.8761467889908257,0.2613065326633166,0.207492795389049,0.19444444444444445,0.1407035175879397
64,C1CS(=O)(=O)CC1N_CCCCCC_100.0,4.219507705,100.0,C1CS(=O)(=O)CC1N,CCCCCC,100.0,NC1CCS(=O)(=O)C1,Solvent,Thiolanes_Saturated hydrocarbons,3.304396629333496,59,0.4883720930232558,0.23255813953488372,0.10884353741496598,0.1,0.08633093525179857
65,C1CS(=O)(=O)CC1N_CCCCCC_25.0,5.683579767,25.0,C1CS(=O)(=O)CC1N,CCCCCC,25.0,NC1CCS(=O)(=O)C1,Solvent,Thiolanes_Saturated hydrocarbons,3.789542675018311,59,0.4883720930232558,0.23255813953488372,0.10884353741496598,0.1,0.08633093525179857
66,C1CS(=O)(=O)CC1N_CCCCCC_60.0,4.927253685,60.0,C1CS(=O)(=O)CC1N,CCCCCC,60.0,NC1CCS(=O)(=O)C1,Solvent,Thiolanes_Saturated hydrocarbons,3.5359575748443604,59,0.4883720930232558,0.23255813953488372,0.10884353741496598,0.1,0.08633093525179857
67,C1CS(=O)(=O)CC1N_c1ccccc1_100.0,1.589235205,100.0,C1CS(=O)(=O)CC1N,c1ccccc1,100.0,NC1CCS(=O)(=O)C1,Solvent,Thiolanes_Benzene and substituted derivatives,1.1784443855285645,25,0.4883720930232558,0.23255813953488372,0.10884353741496598,0.1,0.08633093525179857
68,C1CS(=O)(=O)CC1N_c1ccccc1_25.0,2.151762203,25.0,C1CS(=O)(=O)CC1N,c1ccccc1,25.0,NC1CCS(=O)(=O)C1,Solvent,Thiolanes_Benzene and substituted derivatives,1.0024116039276123,25,0.4883720930232558,0.23255813953488372,0.10884353741496598,0.1,0.08633093525179857
69,C1CS(=O)(=O)CC1N_c1ccccc1_60.0,1.916922612,60.0,C1CS(=O)(=O)CC1N,c1ccccc1,60.0,NC1CCS(=O)(=O)C1,Solvent,Thiolanes_Benzene and substituted derivatives,1.0944236516952517,25,0.4883720930232558,0.23255813953488372,0.10884353741496598,0.1,0.08633093525179857
70,C1CS(=O)(=O)CC1O_CCCCCC_100.0,4.882801923,100.0,C1CS(=O)(=O)CC1O,CCCCCC,100.0,O=S1(=O)CCC(O)C1,Solvent,Thiolanes_Saturated hydrocarbons,3.6880502700805664,59,0.702247191011236,0.24,0.12213740458015267,0.11023622047244094,0.09550561797752809
71,C1CS(=O)(=O)CC1O_c1ccccc1_100.0,2.079441542,100.0,C1CS(=O)(=O)CC1O,c1ccccc1,100.0,O=S1(=O)CCC(O)C1,Solvent,Thiolanes_Benzene and substituted derivatives,1.4217369556427002,25,0.702247191011236,0.24,0.12213740458015267,0.11023622047244094,0.09550561797752809
72,C1CS(=O)CCO1_CC(C)=C(C)C_50.0,2.054123734,50.0,C1CS(=O)CCO1,CC(C)=C(C)C,50.0,CC(C)=C(C)C,Solute,Oxathianes_Unsaturated hydrocarbons,2.5785484313964844,1,0.875,0.45454545454545453,0.35714285714285715,0.2727272727272727,0.18181818181818182
73,C1CS(=O)CCO1_CC(C)=C(C)C_60.0,1.931521412,60.0,C1CS(=O)CCO1,CC(C)=C(C)C,60.0,CC(C)=C(C)C,Solute,Oxathianes_Unsaturated hydrocarbons,2.4882261753082275,1,0.875,0.45454545454545453,0.35714285714285715,0.2727272727272727,0.18181818181818182
74,C1OCCOCCOCCOCCOCCOC1_C1CCCCC1_50.0,1.17093295,50.0,C1OCCOCCOCCOCCOCCOC1,C1CCCCC1,50.0,C1COCCOCCOCCOCCOCCO1,Solvent,Organooxygen compounds_Saturated hydrocarbons,0.8760364055633545,596,1.0,0.5283018867924528,0.3142857142857143,0.2558139534883721,0.18518518518518517
75,C1OCCOCCOCCOCCOCCOC1_CC(C)=O_50.0,0.018821754,50.0,C1OCCOCCOCCOCCOCCOC1,CC(C)=O,50.0,C1COCCOCCOCCOCCOCCO1,Solvent,Organooxygen compounds_Organooxygen compounds,-0.1369911432266235,307,1.0,0.5283018867924528,0.3142857142857143,0.2558139534883721,0.18518518518518517
76,C1OCCOCCOCCOCCOCCOC1_CCCCCCCC_50.0,1.968789272,50.0,C1OCCOCCOCCOCCOCCOC1,CCCCCCCC,50.0,C1COCCOCCOCCOCCOCCO1,Solvent,Organooxygen compounds_Saturated hydrocarbons,1.8986587524414065,596,1.0,0.5283018867924528,0.3142857142857143,0.2558139534883721,0.18518518518518517
77,C1OCCOCCOCCOCCOCCOC1_CCCCCCC_50.0,1.811562097,50.0,C1OCCOCCOCCOCCOCCOC1,CCCCCCC,50.0,C1COCCOCCOCCOCCOCCO1,Solvent,Organooxygen compounds_Saturated hydrocarbons,1.6715097427368164,596,1.0,0.5283018867924528,0.3142857142857143,0.2558139534883721,0.18518518518518517
78,C1OCCOCCOCCOCCOCCOC1_CCCCCC_50.0,1.669968412,50.0,C1OCCOCCOCCOCCOCCOC1,CCCCCC,50.0,C1COCCOCCOCCOCCOCCO1,Solvent,Organooxygen compounds_Saturated hydrocarbons,1.4195501804351809,596,1.0,0.5283018867924528,0.3142857142857143,0.2558139534883721,0.18518518518518517
79,C1OCCOCCOCCOCCOCCOC1_CCOC(C)=O_50.0,0.070458464,50.0,C1OCCOCCOCCOCCOCCOC1,CCOC(C)=O,50.0,C1COCCOCCOCCOCCOCCO1,Solvent,Organooxygen compounds_Carboxylic acids and derivatives,0.0521761178970336,81,1.0,0.5283018867924528,0.3142857142857143,0.2558139534883721,0.18518518518518517
80,C1OCCOCCOCCOCCOCCOC1_COC(C)=O_50.0,-0.080126044,50.0,C1OCCOCCOCCOCCOCCOC1,COC(C)=O,50.0,C1COCCOCCOCCOCCOCCO1,Solvent,Organooxygen compounds_Carboxylic acids and derivatives,-0.0781205892562866,81,1.0,0.5283018867924528,0.3142857142857143,0.2558139534883721,0.18518518518518517
